Name,Branche,Ort,PLZ,Fahrtdistanz,,,,,,,
mag ias gmbh,Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
BC Börtzler Control,Industrial Products & Services,Schaffhausen,8200,5,,,,,,,
MDP Meili,Consumer Goods & Retail,Ramsen,8262,22,,,,,,,
Dentavis,Consumer Goods & Retail,Neuhausen am Rheinfall,8212,9,,,,,,,
TTS Inova AG,Consumer Goods & Retail,Thayngen,8240,14,,,,,,,
Veltru,Industrial Products & Services,Schaffhausen,8200,6,,,,,,,
Miki Pulley Europe GmbH,Industrial Products & Services,Schaffhausen,8200,4,,,,,,,
WebGate Consulting AG,Civil Economics,Dietikon,8953,61,,,,,,,
Netcloud AG,Information and Communication Technology,Winterthur,8406,27,,,,,,,
RCS EDV Dienstleistungen GmbH,Information and Communication Technology,Schaffhausen,8200,5,,,,,,,
SoXes GmbH,Information and Communication Technology,Bubikon,8608,58,,,,,,,
Metagon AG,Information and Communication Technology,Zürich,8005,44,,,,,,,
oddEVEN AG,Education,Zürich,8001,45,,,,,,,
beUnity AG,Information and Communication Technology,Thalwil,8134,65,,,,,,,
Zippsafe,Industrial Products & Services,Glattbrugg,8152,41,,,,,,,
KLARA Business AG,Information and Communication Technology,Luzern,6003,91,,,,,,,
BURRI public elements AG,Industrial Products & Services,Glattbrugg,8152,41,,,,,,,
ENIPA AG,Life Science & Health Care,Schaffhausen,8200,2,,,,,,,
CouponPlus AG,Information and Communication Technology,Zürich,8005,42,,,,,,,
Pharma Globe AG,Life Science & Health Care,Schaffhausen,8200,2,,,,,,,
Laserhaus GmbH,Information and Communication Technology,Beringen,8222,9,,,,,,,
MTF Schaffhausen AG, MTF Swiss Cloud AG,Information and Communication Technology,Schaffhausen,8200,3,,,,,,,
Ownbit GmbH,Information and Communication Technology,Schaffhausen,8200,3,,,,,,,
Liip AG,Information and Communication Technology,Zürich,8005,43,,,,,,,
Elca Informatik AG,Information and Communication Technology,Zürich,8048,48,,,,,,,
Zühlke Technology Group AG,Civil Economics,Schlieren,8952,51,,,,,,,
Merkle,Civil Economics,St. Gallen,9000,56,,,,,,,
Netcetera,Information and Communication Technology,Zürich,8004,47,,,,,,,
Ergon Informatik,Information and Communication Technology,Zürich,8032,49,,,,,,,
Webrepublic,Information and Communication Technology,Zürich,8002,50,,,,,,,
Noser Engineering ,Information and Communication Technology,Winterthur,8404,33,,,,,,,
Side Effects,Information and Communication Technology,Zürich,8001,45,,,,,,,
iSolutions,Civil Economics,Bern,3008,116,,,,,,,
BlueCare,Information and Communication Technology,Winterthur,8400,30,,,,,,,
Cadfem,Information and Communication Technology,Aadorf,8355,33,,,,,,,
Company Factory,Information and Communication Technology,Winterthur,8406,26,,,,,,,
Aioma,Information and Communication Technology,Zürich,8005,41,,,,,,,
Crealogix,Information and Communication Technology,Zürich,8041,55,,,,,,,
Stimmt,Civil Economics,Zürich,8008,53,,,,,,,
LikeBerry,Information and Communication Technology,Zürich,8004,44,,,,,,,
Lypto,Civil Economics,Uster,8610,39,,,,,,,
emineo AG,Industrial Products & Services,Zürich,6340,67,,,,,,,
SCIP,Energy & Utilities,Zürich,8048,49,,,,,,,
Infoguard,Civil Economics,Baar,6310,69,,,,,,,
Scanergy,Civil Economics,Neunkirch,8213,14,,,,,,,
Luma Beef,Agriculture & Food,Neuhausen am Rheinfall,8212,9,,,,,,,
IP Quants,Information and Communication Technology,Schaffhausen,8200,3,,,,,,,
Maschinenbau Beilmann,Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
Signer Elektromotoren AG,Industrial Products & Services,Frauenfeld,8500,30,,,,,,,
Hefe Schweiz AG,Agriculture & Food,Stettfurt,9507,34,,,,,,,
Traxler AG,Consumer Goods & Retail,Bichelsee,8363,43,,,,,,,
PAConsult Swiss GmbH,Life Science & Health Care,Neuhausen am Rheinfall,8212,7,,,,,,,
Ehrat & Partner GmbH,Civil Economics,Neuhausen am Rheinfall,8212,7,,,,,,,
ROWA Kunststoffe AG,Industrial Products & Services,Beringen,8222,8,,,,,,,
Mavag AG,Industrial Products & Services,Neunkirch,8213,14,,,,,,,
